bomber,-545.0478794,750,610,200,80000,A
fighter,657.7740151,850,6100,200,90000,A
slow missile,528.4850572,750,610,200,10000,A
fast missile,5264.36037,750,6100,200,20000,A
bomber,-55.0478794,950,6100,200,90000,A
fighter,67.77401509,750,6100,200,90000,A
slow missile,58.48505724,1050,610,200,30000,A
fast missile,524.3603701,750,6100,200,90000,A
slow missile,589.4850572,250,610,200,40000,A
fast missile,424.3603701,750,6100,200,90000,A
slow missile,58.48505724,75,610,200,90000,A
fast missile,324.3603701,150,610,20,60000,A
slow missile,158.4850572,75,610,200,90000,A
fast missile,124.3603701,750,6100,20,90000,A
bomber,145.0478794,150,6100,200,90000,A
bomber,-245.0478794,750,610,200,80000,A
bomber,-545.0478794,250,6100,200,60000,A
bomber,-345.0478794,750,6100,200,90000,A
fighter,657.7740151,850,6100,200,40000,A
slow missile,428.4850572,750,610,200,90000,A
fast missile,8264.36037,750,610,200,90000,A
bomber,-95.0478794,750,6100,200,90000,A
fighter,657.7740151,750,6100,200,50000,A
slow missile,828.4850572,750,610,200,60000,A
fast missile,5264.36037,750,6100,200,70000,A
bomber,-55.0478794,750,6100,200,80000,A
fighter,657.7740151,750,610,200,30000,A
slow missile,428.4850572,750,610,200,90000,A
fast missile,5264.36037,750,6100,200,90000,A
bomber,-59.0478794,750,6100,200,70000,A
bomber,-55.0478794,750,6100,200,80000,A
fighter,657.7740151,750,6100,200,90000,A
bomber,-25.0478794,350,6100,200,90000,A
fighter,257.7740151,450,610,200,90000,A
bomber,-55.0478794,790,6100,200,20000,A
fighter,657.7740151,750,610,200,50000,A
bomber,-55.0478794,750,6100,200,50000,A
bomber,-55.0478794,140,6100,200,90000,A
bomber,-15.0478794,750,610,200,90000,A
bomber,25.0478794,750,6100,200,90000,A
fighter,657.7740151,250,6100,200,50000,A
slow missile,528.4850572,750,610,200,50000,A
fast missile,5264.36037,650,610,200,50000,A
fighter,657.7740151,750,6100,200,20000,A
slow missile,528.4850572,850,610,200,30000,A
fast missile,5264.36037,750,6100,200,60000,A
fighter,688.7740151,950,6100,200,90000,A
fighter,657.7740151,750,610,200,80000,A
fighter,697.7740151,550,6100,200,70000,A
fast missile,504.3603701,750,6100,200,90000,A
bomber,-545.0478794031,750,610,90000,200,A
fighter,657.7740150936797,850,6100,50000,270,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
bomber,-545.0478794031,750,610,90000,200,A
fighter,657.7740150936797,850,6100,50000,270,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
bomber,-545.0478794031,750,610,90000,200,A
fighter,657.7740150936797,850,6100,50000,270,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
bomber,-545.0478794031,750,610,90000,200,A
bomber,-545.0478794031,750,610,90000,200,A
bomber,-545.0478794031,750,610,90000,200,A
bomber,-545.0478794031,750,610,90000,200,A
bomber,-545.0478794031,750,610,90000,200,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
bomber,-545.0478794031,750,610,90000,200,A
fighter,657.7740150936797,850,6100,50000,270,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
bomber,-545.0478794031,750,610,90000,200,A
fighter,657.7740150936797,850,6100,50000,270,A
fighter,657.7740150936797,850,6100,50000,270,A
fighter,657.7740150936797,850,6100,50000,270,A
fighter,657.7740150936797,850,6100,50000,270,A
fighter,657.7740150936797,850,6100,50000,270,A
bomber,-545.0478794031,750,610,90000,200,A
fighter,657.7740150936797,850,6100,50000,270,A
slow missile,528.4850572427,750,610,100,225,A
slow missile,528.4850572427,750,610,100,225,A
slow missile,528.4850572427,750,610,100,225,A
bomber,-545.0478794031,750,610,90000,200,A
fighter,657.7740150936797,850,6100,50000,270,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
bomber,-545.0478794031,750,610,90000,200,A
fighter,657.7740150936797,850,6100,50000,270,A
slow missile,528.4850572427,750,610,100,225,A
fast missile,5264.3603701302,750,6100,500,2250,A
fast missile,5264.3603701302,750,6100,500,2250,A
fast missile,5264.3603701302,750,6100,500,2250,A
